Place,BIB#,Lastname,Firstname,Club,Nation,Sex,AC,AC Place,Net,Finish,Photos,Certificate
2613,24409,Abenhardt,Bodo,100MC,GER,M,50,213,03:17:47,03:19:40,,
2614,29612,Etter,Johann Jakob,,SUI,M,65,3,03:17:48,03:38:25,,
2615,58697,Rivera,Luis,Running with Lucho,COL,M,45,369,03:17:48,03:18:17,,
2616,60308,Testu,Gilles,,FRA,M,50,214,03:17:49,03:38:07,,
2617,5076,Springer,Thomas,ASV Zeuthen,GER,M,35,492,03:17:49,03:18:54,,
2618,23524,Perello Burguera,Miquel,,ESP,M,30,517,03:17:50,03:19:15,,
2619,59508,Sekman,Tomasz,,POL,M,40,486,03:17:50,03:38:05,,
2620,24652,Tomas Camara,Bruno,TRAVELMARATHON SPAIN,ESP,M,40,487,03:17:50,03:39:40,,
2620,19182,Hanafin,Thomas,,GBR,M,40,487,03:17:50,03:18:39,,
2622,20638,Warman,Robert,,GBR,M,50,215,03:17:50,03:38:29,,
2623,54516,Howe,David,,GBR,M,40,489,03:17:51,03:19:20,,
2624,19150,Ozdemir,Esref,Poole Runners,GBR,M,45,370,03:17:51,03:38:45,,
2625,25090,Ducommun,Olivier,,FRA,M,40,490,03:17:54,03:20:02,,
2626,15018,Celkis,Robertas,,LTU,M,30,518,03:17:54,03:40:23,,
2627,3770,Wrage,Nikolaus,FH Runners Berlin,GER,M,50,216,03:17:54,03:43:21,,
2628,53966,Hachenberg,Pascal,,GER,M,35,493,03:17:56,03:40:45,,
2629,55570,Kupinski,Cezary,SBRT Wroclaw,POL,M,50,217,03:17:56,03:19:15,,
2630,22499,KlÃ¡sek,Jan,Adidas Runners Prague,CZE,M,H,250,03:17:57,03:38:26,,
2631,52002,Cortez,Ralphie,Hup Hup Runners,PUR,M,50,218,03:17:57,03:20:24,,
2631,12625,Mierke,Gunnar,,GER,M,40,491,03:17:57,03:41:59,,
2633,3614,MÃ¤nz,Benjamin,,GER,M,40,492,03:17:58,03:19:26,,
2634,13739,Jurtz,Marcel,Tri-Team LC Ãberlingen,GER,M,H,251,03:17:59,03:38:40,,
2635,27158,Kucziensky,Lisa,,GER,W,H,42,03:17:59,03:38:40,,
2636,24701,Murcia Barallat,Santiago,,ESP,M,45,371,03:18:00,03:20:21,,
2637,13524,Schwanke,Marco,,GER,M,40,493,03:18:00,03:38:25,,
2638,29363,Roncevic,Martin,Team Zadar,CRO,M,H,252,03:18:00,04:33:11,,
2639,21700,Meinhardt,Fabian,,GER,M,30,519,03:18:01,03:19:57,,
2640,59666,Silvestri,Marco,RUNNERS PESCARA,ITA,M,55,74,03:18:01,03:20:51,,
2641,19524,RODRIGUEZ CARRILLO,SERGIO MIGUEL,,VEN,M,40,494,03:18:01,03:38:08,,
2642,56567,MartÃ­nez Vaillo,Antonio Javier,,ESP,M,35,494,03:18:01,03:38:50,,
2643,51052,Bolgert,Yevgeniy,TSE Runners,KAZ,M,35,495,03:18:02,03:19:15,,
2644,18642,Feucht,Thomas,LMB,AUT,M,45,372,03:18:02,03:38:09,,
2645,14110,EinmÃ¼ller,Peter,,GER,M,40,495,03:18:03,03:38:15,,
2646,12486,BrÃ¶mmel,Jens,Team ERDINGER Alkoholfrei,GER,M,45,373,03:18:06,03:38:32,,
2647,18891,Tony,Ortega,,FRA,M,H,253,03:18:07,03:19:07,,
2648,23549,Lehmann-Jacobsen,Sune,,DEN,M,30,520,03:18:07,03:19:24,,
2649,16181,Yaroshenko,Vasily,SlimFitClub,RUS,M,Jug,2,03:18:07,03:18:57,,
2650,21954,Nyvang,Dorthe,,DEN,W,40,32,03:18:08,03:40:21,,
2651,59686,Simpson,Nate,HEAL,CAN,M,45,374,03:18:08,03:41:11,,
2652,19647,Lundqvist,MÃ¥rten,Sundbybergs IK,SWE,M,H,254,03:18:10,04:41:21,,
2653,25043,Hope,AndrÃ©,,NOR,M,35,496,03:18:10,04:37:06,,
2654,15866,Papa,Luke,,AUS,M,H,255,03:18:10,03:19:32,,
2655,12809,Lupfer,Matthias,,GER,M,35,497,03:18:11,03:19:40,,
2656,15903,Wolansky,Markus,RSC LÃ¼neburg,GER,M,40,496,03:18:13,03:38:17,,
2656,16477,Haug,Simon,FitmÃ¤nner 1893,GER,M,40,496,03:18:13,03:38:19,,
2658,13611,Gersdorf,Hubertus,,GER,M,55,75,03:18:14,03:20:14,,
2659,14600,Qian,Fei,,GER,M,45,375,03:18:14,03:40:54,,
2660,61436,WÃ¼nnenberg,Nikolas,,GER,M,30,521,03:18:14,03:41:23,,
2661,54326,Heukers,Frits,,NED,M,50,219,03:18:15,03:38:55,,
2662,52357,Delneufcourt,Olivier,RESC,BEL,M,45,376,03:18:15,03:20:10,,
2663,53584,Giusti,Robert,,BEL,M,55,76,03:18:15,03:19:52,,
2664,53506,Gerpott,Fenja,KinderHerz LÃ¤ufer,GER,W,H,43,03:18:16,03:42:34,,
2665,27855,Filipowicz,Marcin,,POL,M,50,220,03:18:16,03:19:56,,
2666,14473,DreeÃen,Jochen,,GER,M,45,377,03:18:16,03:38:23,,
2667,17756,Ilin,Andrey,,RUS,M,30,522,03:18:17,03:19:53,,
2668,28603,Hurcum,Cordula,Chippenham Harriers,GER,W,45,21,03:18:17,03:21:00,,
2669,13590,de Graaf,Christian,,GER,M,40,498,03:18:18,03:18:43,,
2669,14051,Schwoch,Michael,,GER,M,45,378,03:18:18,03:20:22,,
2671,60549,Tuchinda Peng,Lynn,,USA,W,45,22,03:18:18,03:19:53,,
2672,27612,Sahtel,Kristjan,SK ProRunner,EST,M,40,499,03:18:18,03:38:28,,
2673,56219,Lundquist,Letty,,GER,W,40,33,03:18:19,03:38:30,,
2674,57396,Nicolas,David,,FRA,M,45,379,03:18:23,03:41:06,,
2675,53547,Gil Grasa,Guillermo,,ESP,M,30,523,03:18:23,03:38:25,,
2676,24791,Thull,Mike,LT Schweich,GER,M,35,498,03:18:24,03:19:14,,
2677,26594,Gehne,SÃ¶ren,,GER,M,30,524,03:18:24,03:19:38,,
2678,60946,Viquez Ulate,Minor,,CRC,M,55,77,03:18:24,03:38:29,,
2679,29196,Bulca,Mehmet,,TUR,M,30,525,03:18:24,03:19:26,,
2680,58076,Pikus,Przemek,Lipiec Running Team,POL,M,40,500,03:18:25,03:19:59,,
2681,27146,Lafarga,Ignasi,CORREDORS CATALUNYA,ESP,M,35,499,03:18:26,03:39:29,,
2682,12233,Gopalan,Sidharth,,IND,M,35,500,03:18:27,03:42:06,,
2683,19869,Mroczek,Marek,Marcin Swierc Team,POL,M,35,501,03:18:27,03:44:14,,
2684,55419,Kozikowski,Filip,140minut,GBR,M,30,526,03:18:28,03:20:35,,
2685,27401,Woltering,Ralf,,GER,M,40,501,03:18:28,03:20:56,,
2686,4849,Keller,Holger,,GER,M,50,221,03:18:30,03:19:32,,
2687,25628,Hakstege,Trix,Altis Masters,NED,W,35,47,03:18:31,03:19:45,,
2688,53904,Guo,Shan,,USA,M,45,380,03:18:31,03:18:50,,
2689,52852,Erichsen,Kenneth,,GUA,M,45,381,03:18:31,03:19:23,,
2690,24528,Nahornyi,Mykyta,Happy TRI Friends,UKR,M,H,256,03:18:32,03:22:14,,
2691,53377,Garcia,David,,ESP,M,40,502,03:18:33,03:39:31,,
2692,14981,Buschbaum,Nils,TriAS Hildesheim,GER,M,40,503,03:18:34,03:20:15,,
2693,60815,Vavrina,Josef,,SUI,M,55,78,03:18:34,03:19:01,,
2694,28334,Burkel,Simon,,GER,M,35,502,03:18:34,03:39:11,,
2695,20022,Winterbottom,Daniel,,GBR,M,40,504,03:18:35,03:38:40,,
2696,21135,Hollaus,Anita,LC Mank,AUT,W,40,34,03:18:35,03:21:23,,
2697,12279,Janz,Christoffer,,GER,M,30,527,03:18:36,03:42:42,,
2698,55622,LÃ¦rum,Lars Erik,,NOR,M,40,505,03:18:36,03:39:33,,
2699,61075,Walter,CÃ©dric,,FRA,M,45,382,03:18:37,03:38:39,,
2700,24267,Lieblang,Ann-Katrin,EBWR BergstraÃe,GER,W,40,35,03:18:37,03:21:26,,
2701,57769,Paluch,Janusz,,POL,M,35,503,03:18:38,03:39:44,,
2702,27979,Brinkmann,Andree,,GER,M,45,383,03:18:38,03:20:11,,
2703,54790,Javorfi,Tamas,,GBR,M,50,222,03:18:39,03:40:33,,
2704,12511,Bauer,Alexander,,GER,M,35,504,03:18:40,03:38:48,,
2705,18327,Kluge,Rico,,GER,M,55,79,03:18:41,03:45:11,,
2706,55604,Labbe,Benoit,,FRA,M,40,506,03:18:42,03:42:56,,
2707,56659,Mazzetti,Francesco,ASD Runner varese,ITA,M,45,384,03:18:43,03:21:15,,
2708,19734,Schroeder,Jim,,USA,M,50,223,03:18:43,03:20:54,,
2708,F30,Little,Colleen,,USA,W,35,48,03:18:43,03:18:43,,
2710,24245,Abedum De Lima Hanzawa,Leonardo,,JPN,M,H,257,03:18:43,03:38:52,,
2711,14228,GÃ¶tting,Peggy,MTV MÃ¼den Ãrtze,GER,W,35,49,03:18:44,03:20:32,,
2712,52779,El Jesser,Nada,InterLebanon,LIB,W,45,23,03:18:45,03:20:43,,
2712,55767,Lawson,Chrysanthemum,Oiselle Volee,USA,W,45,23,03:18:45,03:20:53,,
2714,22892,Kristoffersen,BjÃ¸rn-Olaf,,NOR,M,45,385,03:18:45,03:39:37,,
2715,59688,Simyoni,Ido,,ISR,M,35,505,03:18:46,03:20:33,,
2716,17197,Yeremeyev,Anatolii,Ukrainische Falken,UKR,M,30,528,03:18:46,03:42:18,,
2717,14755,Tzschach,Andreas,,GER,M,45,386,03:18:46,03:20:37,,
2718,61681,Gilje,Jo Helge,Asker skiklubb TLG,NOR,M,45,387,03:18:47,03:39:53,,
2719,53685,Gonzalez Renteria,Mariel,Sammys Team,MEX,W,H,44,03:18:48,03:43:33,,
2720,27966,TÃ¤nzler,Mirko,,GER,M,45,388,03:18:48,03:39:34,,
2721,53627,Goldshmidt,Kirill,,ISR,M,30,529,03:18:48,03:20:13,,
2722,18619,Suikkanen,Anssi,,FIN,M,35,506,03:18:49,03:18:58,,
2723,61452,Yaffe,Ronen,,ISR,M,50,224,03:18:49,03:20:25,,
2724,14002,Heinelt,Dorothea,,GER,W,35,50,03:18:49,03:40:12,,
2725,59054,Sailer,Gerald,TSV Blaichach,GER,M,50,225,03:18:49,03:19:13,,
2726,12825,Swinden,Tristan,,GER,M,35,507,03:18:50,03:41:58,,
2727,20295,O'Shea,Alan,,GBR,M,H,258,03:18:50,03:20:30,,
2728,26361,SchÃ¤fer,Franz,Eintracht Frankfurt,GER,M,30,530,03:18:51,03:41:08,,
2729,55425,Kraft,Jaqe,,USA,M,35,508,03:18:51,03:45:25,,
2730,2083,Paul,Torsten,TLV Rangsdorf,GER,M,50,226,03:18:51,03:20:06,,
2730,57415,Nielsen,Thomas,,DEN,M,35,509,03:18:51,03:20:56,,
2732,28442,Gross,Yael,,ISR,W,40,36,03:18:52,03:20:35,,
2733,51075,Bonne,Anthony,Asptt Compiegne,FRA,M,30,531,03:18:52,03:20:41,,
2734,20418,Grimme,Thomas,Anchor Running Crew,GER,M,45,389,03:18:52,03:39:00,,
2735,28960,Pestana,Carlos,,POR,M,30,532,03:18:53,04:34:01,,
2736,16109,Salih,Farid,,GER,M,45,390,03:18:53,03:21:11,,
2737,21114,Holand,Aleksander,BodÃ¶ Bauta,NOR,M,35,510,03:18:54,03:43:56,,
2738,26995,Hall,Ammon,,USA,M,40,507,03:18:58,03:19:56,,
2739,18612,Reitinger,Georg,SC GrÃ¶benzell,GER,M,40,508,03:18:59,03:39:27,,
2740,12915,Nyberg,Thomas,Fredrikshof,SWE,M,35,511,03:18:59,03:19:38,,
2741,12452,Vogel,Hans-Peter,,GER,M,45,391,03:19:00,03:39:36,,
2742,21010,James,David,,GBR,M,35,512,03:19:00,03:41:19,,
2743,25286,Pohle,Edgar,,GER,M,30,533,03:19:01,03:21:03,,
2744,56473,MarÃ­n,Antonio,,ESP,M,45,392,03:19:01,03:20:46,,
2745,22754,Slomczynski,Marcin,Trigulce,POL,M,35,513,03:19:02,03:19:54,,
2746,56298,BuÃinger,Madlin,TSG 08 Roth,GER,W,30,50,03:19:02,03:41:50,,
2747,52465,DÃ­az LÃ³pez,JosÃ© Manuel,CLUB CORRER ASTURIAS,ESP,M,55,80,03:19:03,03:41:12,,
2748,17266,Tausendpfund,Johannes,,GER,M,35,514,03:19:03,03:21:32,,
2749,16624,Philardeau,Catherine,,FRA,W,60,2,03:19:03,03:39:08,,
2750,15341,Ensdorf,Kenneth,,USA,M,45,393,03:19:04,03:20:55,,
2751,56023,Linz,Uwe,,GER,M,50,227,03:19:04,03:39:16,,
2752,21047,Just,Simon,,GER,M,40,509,03:19:05,03:39:49,,
2753,57607,OlivÃ© Sala,Aleix,AOS TEAM,ESP,M,Jug,3,03:19:06,04:34:25,,
2753,25749,Fernandez Fernandez,Jairo,ImaGym,ESP,M,40,510,03:19:06,03:20:34,,
2755,21803,Fox,Collin,Swindon Harriers,GBR,M,40,511,03:19:07,03:42:09,,
2756,52239,De Coster,Wouter,,BEL,M,45,394,03:19:07,03:21:14,,
2757,54127,Haslie,Anders,,NOR,M,35,515,03:19:07,03:40:17,,
2758,21761,Brooke,Nicko,Bristol and West AC,GBR,M,40,512,03:19:10,03:20:53,,
2759,12761,Godde,Martin Josef,RecklinghÃ¤user LC,GER,M,55,81,03:19:11,03:39:18,,
2760,59982,Steinsvik,Rita,Romerike Ultraloperklubb,NOR,W,45,25,03:19:11,03:39:16,,
2761,4556,Adamczyk,Mariusz,,POL,M,45,395,03:19:11,03:19:43,,
2762,18246,Amaya,Sergio,,GER,M,35,516,03:19:11,03:39:38,,
2763,13069,Valentini,Brian,Twin Cities Track Club,USA,M,35,517,03:19:12,03:21:09,,
2763,13247,Duggins,Luke,,GBR,M,H,259,03:19:12,03:20:05,,
2765,60310,Teubner,Timm,,GER,M,35,518,03:19:12,03:20:49,,
2765,55231,KjÃ¦r Johansen,Fredrik,,DEN,M,H,260,03:19:12,03:19:53,,
2767,59550,Sexton,Julian Dominic,,GBR,M,55,82,03:19:12,03:20:19,,
2768,53144,Fogle,Michelle,,USA,W,35,51,03:19:13,03:39:43,,
2769,61151,Wechsler,Thomas,FV ObereichstÃ¤tt,GER,M,55,83,03:19:14,03:20:30,,
2770,26025,Rossbach,Tobias,TSV Lichtenwald,GER,M,40,513,03:19:14,03:41:14,,
2771,26453,Jorand,Elie,,FRA,M,50,228,03:19:14,03:20:24,,
2772,13900,Trinidad,Martin,,MEX,M,40,514,03:19:14,03:40:03,,
2773,3084,RÃ¶hrs,Michael,TV Jahn Schneverdingen,GER,M,55,84,03:19:15,03:19:32,,
2774,29279,Sancho,Alvaro,,ESP,M,40,515,03:19:16,03:39:32,,
2775,22380,Sire,Vidar,,NOR,M,50,229,03:19:16,03:42:00,,
2776,58897,Rosen,Billy,Front Runners New York,USA,M,35,519,03:19:17,03:20:25,,
2777,26706,Kratochvil,Oliver,TuS KremsmÃ¼nster,AUT,M,45,396,03:19:18,03:20:37,,
2778,55829,Lee,Justin,Atlantic Athletic,RSA,M,35,520,03:19:19,03:41:53,,
2779,22037,Diaz,Sergio,TRIATLO TERRASSASPORTS,ESP,M,35,521,03:19:21,03:20:32,,
2779,51405,Butenas,Arunas,,LTU,M,30,534,03:19:21,03:19:30,,
2781,54282,Hernandez,Loida,,MEX,W,30,51,03:19:21,03:39:56,,
2782,58968,Ruhstrat,Juliana,,USA,W,H,45,03:19:21,04:36:35,,
2783,60968,Vogt,Meghan,,USA,W,40,37,03:19:22,03:42:00,,
2784,26631,Pelinski,Marco,,GER,M,45,397,03:19:22,03:20:42,,
2785,21493,Van Dalen,Wendel,AAC 61,NED,M,30,535,03:19:25,03:41:45,,
2786,24840,Mochart,Michael,,AUT,M,30,536,03:19:25,03:44:21,,
2787,52214,Carrillo Uribe,David,,MEX,M,35,522,03:19:27,03:39:46,,
2788,19849,Joos,Pauwel,,BEL,M,55,85,03:19:27,03:20:00,,
2789,17157,Pertassek,Thomas,,AUT,M,45,398,03:19:28,03:42:38,,
2790,60700,Van Der Meer,Jeroen,,NED,M,40,516,03:19:30,03:20:29,,
2791,60190,Szczubelek-Rykowska,Ewelina,Biegam Bo Lubie Ostroleka,POL,W,30,52,03:19:30,03:40:09,,
2792,60486,TranÃ©,Sara,,SWE,W,35,52,03:19:30,03:19:37,,
2792,54767,Janvier,Dominique,,FRA,M,35,523,03:19:30,03:20:55,,
2794,15965,Goreninov,Konstantin,,RUS,M,35,524,03:19:31,03:40:25,,
2795,27384,Meier,Steffen,,GER,M,50,230,03:19:32,03:21:37,,
2796,26665,Melnik,Leonid,,RUS,M,H,261,03:19:33,03:40:46,,
2797,58278,Prieto Diaz,Ãlvaro,PARACUELLOS RUNNING,ESP,M,40,517,03:19:33,03:39:57,,
2798,18727,Cruijssen,Frans,Hellas,NED,M,40,518,03:19:34,03:21:01,,
2799,26096,Hinders,Lambertus,Braunschweiger Laufclub,GER,M,55,86,03:19:35,03:20:45,,
2800,58508,Refollo Colera,Oscar,TIGERS RUNNING CLUB,ESP,M,45,399,03:19:35,03:41:48,,
2801,59965,Steeman,Marc,,BEL,M,50,231,03:19:36,03:21:35,,
2802,15955,GLOW,TOMASZ,,POL,M,50,232,03:19:37,03:20:35,,
2803,21637,Ng,Kai,,USA,M,35,525,03:19:37,03:20:27,,
2804,51040,Bohnenkamp,Claudia,,GER,W,45,26,03:19:38,03:40:38,,
2805,52398,Descendre,Maurice,,NED,M,40,519,03:19:39,03:40:01,,
2806,29725,Cabrera,George,,GER,M,40,520,03:19:40,03:20:00,,
2807,25609,Kormann,Tim,MKF Running,GER,M,30,537,03:19:40,03:42:10,,
2808,23921,Hebbe,Alexandra,power and pace,GER,W,35,53,03:19:40,03:40:45,,
2809,25629,Uthoff,Jens,,GER,M,40,521,03:19:41,03:20:07,,
2810,51523,Caredio,Elisa,,ITA,W,45,27,03:19:42,03:21:43,,
2810,58738,RocasermeÃ±o,Isabel,,GUA,W,45,27,03:19:42,03:39:45,,
2812,56408,Manjunath,Vivek,,USA,M,H,262,03:19:42,03:39:54,,
2813,61400,Wong,Chris,Birchfield Harriers,GBR,M,30,538,03:19:43,03:21:52,,
2814,26504,Buchbinder,Rupert,,GER,M,40,522,03:19:43,03:21:34,,
2815,12945,Roggenkamp,Daniel,Laufsport 97 30 Lowick,GER,M,40,523,03:19:44,03:40:36,,
2816,12377,Brugiere,Yann,GIGIDAG,FRA,M,40,524,03:19:44,03:20:37,,
2817,50223,Ament,Markus,,USA,M,45,400,03:19:44,03:42:22,,
2818,55120,Kerdo,Joseph,VALENCE TRIATHLON,FRA,M,50,233,03:19:44,03:20:18,,
2819,27842,Manthei,Jascha,,GER,M,H,263,03:19:45,03:44:59,,
2820,51178,Bracke,Wim,8000 Running,BEL,M,40,525,03:19:45,03:20:05,,
2821,58455,Rantanen,Rami,,FIN,M,50,234,03:19:46,03:39:59,,
2822,50014,Abbott,Daniel,Berlin Social Runners,GBR,M,30,539,03:19:46,03:21:15,,
2823,55891,Lempicki,Pawel,,POL,M,30,540,03:19:47,03:20:47,,
2824,58774,Rodriguez,Fabrice,ASA Onnaing,FRA,M,45,401,03:19:48,03:21:44,,
2824,4448,Hviid,Per,Klub 100 Marathon Danmark,DEN,M,55,87,03:19:48,03:20:29,,
2826,29237,Newbury,Duncan,Wimbledon Windmilers,GBR,M,45,402,03:19:48,03:41:28,,
2827,12887,Von Der Decken,Jasper,,GER,M,H,264,03:19:49,03:40:20,,
2828,51035,BÃ¶hme,Matthias,,GER,M,40,526,03:19:49,03:40:47,,
2829,54337,Hicks,William,,USA,M,45,403,03:19:49,03:20:58,,
2830,23446,Finis,Thomas,Lauftreff Hofgeismar,GER,M,40,527,03:19:50,03:42:40,,
2831,56993,MÃ¸ller-Petersen,Niels,,DEN,M,35,526,03:19:51,03:20:45,,
2832,18503,Fauconnier,Alexandre,,FRA,M,30,541,03:19:51,03:21:13,,
2833,16891,Reddering,Thomas,Running Junkies,NED,M,30,542,03:19:53,03:21:02,,
2833,12441,Hofner,Ida-Maria,,GER,W,H,46,03:19:53,03:45:22,,
2835,60025,Stoker,Ginger,,USA,W,45,29,03:19:53,03:40:24,,
2836,58147,Plokas,Nikolaos,NS Coaching,GRE,M,40,528,03:19:54,04:36:30,,
2836,51564,Carste,Curt,,GER,M,50,235,03:19:54,03:21:20,,
2838,15232,Kotro,Hanna,,GER,W,H,47,03:19:55,03:43:31,,
2839,16986,Jacob,Falk,,GER,M,40,529,03:19:55,03:21:43,,
2840,3923,Heindl,Michael,Bundeswehr,GER,M,45,404,03:19:55,03:20:57,,
2841,21708,Langhoff,Kai,,DEN,M,60,13,03:19:56,03:44:24,,
2842,29502,Marco,Enrico,ATLETICA VOLPIANO,ITA,M,35,527,03:19:56,03:40:40,,
2843,50168,Allen,Gillian,SC DHfK Leipzig,GBR,W,45,30,03:19:56,03:21:01,,
2844,15458,Neubert,Maximilian,,GER,M,H,265,03:19:56,03:46:10,,
2845,55282,Kniep,Hagen,,GER,M,50,236,03:19:57,04:35:31,,
2846,60245,Tapp,Jerry,,USA,M,45,405,03:19:58,03:20:40,,
2847,17613,Timmerman,Jordy,Running Junkies Amsterdam,NED,M,40,530,03:19:59,03:40:03,,
2848,56309,Maesse,Katrin,Atlanta Track Club,GER,W,30,53,03:20:00,03:21:39,,
2848,60651,Valiente,David,,ESP,M,35,528,03:20:00,03:21:20,,
2850,52639,Dudley,Kara,,USA,W,H,48,03:20:00,03:42:38,,
2851,4882,Nilsson,GÃ¶ran,FK Studenterna,SWE,M,60,14,03:20:01,03:20:59,,
2852,29668,Gutsche,Stefan,SCC Berlin,GER,M,55,88,03:20:01,03:21:17,,
2853,59894,Sperling,Yannic,,GER,M,H,266,03:20:03,04:35:14,,
2854,54971,Kakas,Farid,,FRA,M,40,531,03:20:04,03:40:24,,
2855,14469,Tuohy,Thomas,Craughwell AC,IRL,M,50,237,03:20:04,03:21:37,,
2856,59680,Simon,MickaÃ«l,Front Runners de Paris,FRA,M,30,543,03:20:06,03:21:31,,
2857,52888,Estarita,Leonardo,,COL,M,40,532,03:20:08,03:46:39,,
2858,21502,Van Kersbergen,Edwin,,NED,M,30,544,03:20:09,03:21:39,,
2858,12632,Wich,Jakob,The Cappuccino Project,GER,M,H,267,03:20:09,03:42:25,,
2860,27159,Kreidl,Ondrej,Sportovni Dite,CZE,M,50,238,03:20:10,03:20:50,,
2861,28453,Langethal,Thomas,Adidas Runners Berlin,GER,M,40,533,03:20:12,03:40:44,,
2862,20015,De Cock,Gunther,,BEL,M,45,406,03:20:13,03:22:12,,
2862,15220,Van Doorn,Guido,Lexgroep,NED,M,35,529,03:20:13,03:20:52,,
2864,61454,Yakymenko,Nikita-Avhust,RUN21,UKR,M,30,545,03:20:13,03:44:07,,
2865,56446,Marc,Benjamin,,FRA,M,30,546,03:20:13,03:41:00,,
2866,26667,Zimmer,Patrick,TRC Essen 84,GER,M,30,547,03:20:14,03:21:31,,
2867,14046,LÃ¼th,Stephan,,GER,M,45,407,03:20:15,03:41:07,,
2868,27165,Lorenz,Thorsten,,GER,M,45,408,03:20:16,03:21:21,,
2869,15049,Stang,Christian,,GER,M,35,530,03:20:17,03:22:03,,
2870,20908,RodrÃ­guez FernÃ¡ndez,Carlos,,ESP,M,30,548,03:20:18,03:41:03,,
2871,1354,Siegmund,Joachim,DAV Berlin,GER,M,55,89,03:20:18,03:21:41,,
2872,14244,Cardona,Juan,Monkeys,COL,M,35,531,03:20:21,03:42:32,,
2873,24559,Wilck,Andreas,SÃ¶mmerdaer GipfelstÃ¼rmer,GER,M,55,90,03:20:21,03:40:27,,
2874,53927,Gutierrez,Victor,Triatlette,MEX,M,30,549,03:20:22,03:42:24,,
2874,17764,Lux,Katharina,,AUT,W,30,54,03:20:22,03:22:16,,
2876,17734,Prechtl,Bastian,TEAM KLINIKUM NÃRNBERG,GER,M,H,268,03:20:22,03:41:52,,
2877,20781,McGuire,Brian,Eagle AC,IRL,M,50,239,03:20:22,03:20:50,,
2878,15769,Schwarzer,Markus,TSV Heidenfeld,GER,M,35,532,03:20:23,03:22:30,,
2879,13331,Wu,Boon Kiat,,GBR,M,40,534,03:20:23,03:22:09,,
2880,56505,Marroquin,Dimitri,,GUA,M,30,550,03:20:24,04:44:57,,
2881,26742,Tague,Andrew,,GBR,M,35,533,03:20:24,03:40:28,,
2882,51952,conti,roberto,,ITA,M,50,240,03:20:25,04:36:11,,
2883,12241,Kunath,Klaus,EOSC Offenbach,GER,M,45,409,03:20:25,03:22:43,,
2884,19548,Pommel,Thomas,,FRA,M,50,241,03:20:26,03:40:33,,
2885,24366,Krause,Petra,SCC Berlin,GER,W,35,54,03:20:26,03:40:44,,
2886,25436,Jertz,Andreas,BayBerRun,GER,M,35,534,03:20:26,03:41:58,,
2887,18721,Imbert,Jessica,,FRA,W,35,55,03:20:30,03:41:14,,
2888,21671,Mcinnes,Tara,,GBR,W,50,13,03:20:31,03:42:32,,
2889,50005,Aarts,Frank,Running Holland,NED,M,45,410,03:20:31,03:40:43,,
2890,59280,Schilling,Dorota,,GER,W,40,38,03:20:33,03:22:35,,
2891,55309,Kogut,Andrii,Run4U,UKR,M,30,551,03:20:33,03:23:24,,
2892,55617,Lack,Rachela,,USA,W,45,31,03:20:34,03:43:15,,
2893,13646,Eddington,John,,GBR,M,50,242,03:20:34,03:43:41,,
2893,22377,Vannini,Matteo,,ITA,M,40,535,03:20:34,03:41:39,,
2895,13994,GÃ¤rtner,Michael,Hannover 96,GER,M,50,243,03:20:36,03:23:10,,
2896,18406,Gergs,Leo,London City Runners,GER,M,H,269,03:20:37,03:44:41,,
2897,26950,Eickmann,Jonas,,GER,M,35,535,03:20:38,03:40:57,,
2898,25017,Kaden,Heiko,Black Forest Runners,GER,M,45,411,03:20:41,04:35:44,,
2899,23215,Hunner,Christian,,GER,M,50,244,03:20:42,04:35:45,,
2900,29754,Hecker,Toni,,GER,M,35,536,03:20:42,03:40:44,,
2901,4340,Hansen,Karsten,GuldborgsundTriathlonKlub,DEN,M,50,245,03:20:42,03:41:38,,
2902,54519,Howley,Grace,,USA,W,H,49,03:20:44,03:41:45,,
2903,18786,Genender,Dr. Peter,BMW Laufteam,GER,M,50,246,03:20:44,03:41:13,,
2904,60099,Subtil,Damien,,FRA,M,40,536,03:20:45,03:22:32,,
2905,58847,Romagnoli,Alan,,ITA,M,45,412,03:20:45,03:21:36,,
2906,13423,Savostkin,Jevgeni,,EST,M,30,552,03:20:45,03:22:52,,
2907,50687,Beckmann,Dominik,LC Duisburg,GER,M,35,537,03:20:46,03:41:55,,
2908,24388,Thordarson,Logi,,ISL,M,35,538,03:20:48,03:41:47,,
2909,18669,Moragues,Francisco De Borja,DE PUENTE A PUENTE,ESP,M,45,413,03:20:48,03:43:58,,
2910,58051,piazza,tommaso,road runner club Milano,ITA,M,35,539,03:20:48,03:21:43,,
2911,23736,Longobardo,Umberto,,ITA,M,55,91,03:20:49,04:36:02,,
2912,20097,Egan,Clodagh,,IRL,W,40,39,03:20:52,03:41:36,,
2913,18492,Leppert,William,,USA,M,60,15,03:20:53,03:42:12,,
2914,26611,Kennedy,Sean,,USA,M,40,537,03:20:54,03:42:31,,
2915,60529,Tsalenchuk,Igor,KUZIN TEAM,UKR,M,50,247,03:20:55,04:14:55,,
2916,59733,Skovmand LÃ¸vbjerg,Jens,,DEN,M,40,538,03:20:55,03:23:18,,
2917,21130,Gooderham,Jessie,Saint Edmund pacers,GBR,W,H,50,03:20:56,03:46:54,,
2918,58703,Rizzo,Jamie,,USA,W,H,51,03:20:56,03:23:36,,
2919,13623,Schmiederer,Markus,,GER,M,30,553,03:20:56,04:36:05,,
